IES,Semestre,Materia,Disciplina,Ementa,,,
IA,1,citologia/histologia,Célula e Tecido: A Base da Estrutura e Função dos Seres Vivos,"Explore a Citologia e a Histologia como a base da estrutura e função dos seres vivos. Desvende a estrutura e função celular, a organização tecidual e as técnicas histológicas que revelam os segredos da vida.",207,,
IA,1,citologia/histologia,Microscopicamente: Desvendando os Segredos da Vida em Nível Celular e Tecidual,"Embarque em uma jornada microscópica para desvendar os segredos da vida em nível celular e tecidual com a Citologia e a Histologia. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que revelam os mistérios da vida.",253,,
IA,1,citologia/histologia,Citologia e Histologia: A Ciência da Vida em Nível Microscópico,"Mergulhe na Citologia e na Histologia, a ciência da vida em nível microscópico. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que revelam os mistérios da vida.",201,,
IA,1,citologia/histologia,Micromundo: Uma Viagem Fascinante ao Interior das Células e Tecidos,"Faça uma viagem fascinante ao micromundo das células e tecidos com a Citologia e a Histologia. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que desvendam os segredos da vida.",217,,
IA,1,citologia/histologia,Células e Tecidos: Os Blocos de Montar da Vida,"Desvende os segredos das células e tecidos, os blocos de montar da vida. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que revelam os mistérios da vida.",194,,
IA,1,citologia/histologia,Citologia e Histologia: A Base da Biologia Celular e Tecidual,"Mergulhe na Citologia e na Histologia, a base da Biologia Celular e Tecidual. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que revelam os mistérios da vida.",199,,
IA,1,citologia/histologia,Citologia e Histologia: Uma Jornada pela Vida em Nível Microscópico,"Embarque em uma jornada pela vida em nível microscópico com a Citologia e a Histologia. Explore a estrutura e função celular, a organização tecidual e as técnicas histológicas que desvendam os segredos da vida.",210,,
IA,1,citologia/histologia,Micromundo: Desvendando os Mistérios da Vida em Nível Celular,"Faça uma viagem fascinante ao micromundo das células com a Citologia. Explore a estrutura e função celular, o ciclo celular e as técnicas histológicas que revelam os segredos da vida.",183,,
IA,1,citologia/histologia,Citologia: A Ciência da Célula,"Mergulhe na Citologia, a ciência da célula. Explore a estrutura e função celular, o ciclo celular e as técnicas histológicas que revelam os mistérios da vida.",158,,
IA,1,lingua portuguesa,Português Linguístico,"Estudo dos tipos e gêneros textuais discursivos, análise do texto em seu contexto e intertextualidade, abordagem dos aspectos gramaticais fundamentais, coesão e coerência textual.",179,,
IA,1,lingua portuguesa,Teoria da Linguagem,"Exploração dos tipos e gêneros textuais discursivos, análise do texto em seu contexto sócio-histórico e cultural, estudo dos aspectos gramaticais, coesão e coerência na produção textual.",186,,
IA,1,lingua portuguesa,Comunicação Escrita,"Análise dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes contextos comunicativos, estudo dos aspectos gramaticais essenciais, coesão e coerência textual.",181,,
IA,1,lingua portuguesa,Linguagem e Texto,"Estudo dos tipos e gêneros textuais discursivos, interpretação do texto em sua contextualização, revisão dos aspectos gramaticais básicos, construção de coesão e coerência no discurso.",184,,
IA,1,lingua portuguesa,Texto e Contexto,"Análise dos tipos e gêneros textuais discursivos, compreensão do texto em seu contexto sociocultural, revisão dos aspectos gramaticais fundamentais, produção de texto coeso e coerente.",184,,
IA,1,lingua portuguesa,Gramática e Texto,"Exploração dos tipos e gêneros textuais discursivos, interpretação do texto em seu contexto situacional, revisão dos aspectos gramaticais essenciais, elaboração de texto coeso e coerente.",187,,
IA,1,lingua portuguesa,Língua e Comunicação,"Estudo dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes contextos comunicativos, análise dos aspectos gramaticais básicos, produção de texto coeso e coerente.",186,,
IA,1,lingua portuguesa,Produção Textual,"Análise dos tipos e gêneros textuais discursivos, interpretação do texto em sua contextualização social, revisão dos aspectos gramaticais fundamentais, construção de texto coeso e coerente.",189,,
IA,1,lingua portuguesa,Leitura e Escrita,"Exploração dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes contextos discursivos, estudo dos aspectos gramaticais essenciais, elaboração de texto coeso e coerente.",192,,
IA,1,lingua portuguesa,Compreensão Textual,"Estudo dos tipos e gêneros textuais discursivos, interpretação do texto em sua inserção cultural, revisão dos aspectos gramaticais básicos, produção de texto com coesão e coerência.",181,,
IA,1,lingua portuguesa,Estrutura e Sentido,"Análise dos tipos e gêneros textuais discursivos, compreensão do texto em seu contexto comunicativo, estudo dos aspectos gramaticais fundamentais, produção de texto coeso e coerente.",182,,
IA,1,lingua portuguesa,Gramática e Discurso,"Exploração dos tipos e gêneros textuais discursivos, interpretação do texto em sua contextualização sociopolítica, revisão dos aspectos gramaticais essenciais, elaboração de texto coerente.",189,,
IA,1,lingua portuguesa,Linguagem e Expressão,"Estudo dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes esferas de comunicação, análise dos aspectos gramaticais básicos, produção de texto coeso e coerente.",185,,
IA,1,lingua portuguesa,Interpretação Textual,"Análise dos tipos e gêneros textuais discursivos, interpretação do texto em seu contexto sócio-histórico, revisão dos aspectos gramaticais fundamentais, construção de texto com coesão e coerência.",196,,
IA,1,lingua portuguesa,Textualidade e Gramática,"Exploração dos tipos e gêneros textuais discursivos, compreensão do texto em seu contexto cultural, estudo dos aspectos gramaticais essenciais, elaboração de texto coeso e coerente.",181,,
IA,1,lingua portuguesa,Prática de Redação,"Estudo dos tipos e gêneros textuais discursivos, interpretação do texto em sua contextualização comunicativa, revisão dos aspectos gramaticais básicos, produção de texto coeso e coerente.",187,,
IA,1,lingua portuguesa,Linguagem e Contexto,"Análise dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes contextos de uso da língua, análise dos aspectos gramaticais fundamentais, elaboração de texto coerente.",189,,
IA,1,lingua portuguesa,Produção de Textos,"Exploração dos tipos e gêneros textuais discursivos, interpretação do texto em seu contexto de produção, estudo dos aspectos gramaticais essenciais, construção de texto com coesão e coerência.",192,,
IA,1,lingua portuguesa,Gramática e Produção Textual,"Estudo dos tipos e gêneros textuais discursivos, compreensão do texto em sua inserção sociocultural, revisão dos aspectos gramaticais básicos, elaboração de texto coeso e coerente.",180,,
IA,1,lingua portuguesa,Leitura e Produção Textual,"Análise dos tipos e gêneros textuais discursivos, interpretação do texto em sua contextualização histórica, revisão dos aspectos gramaticais fundamentais, produção de texto coerente.",182,,
IA,1,lingua portuguesa,Língua e Discurso,"Exploração dos tipos e gêneros textuais discursivos, compreensão do texto em diferentes situações de comunicação, estudo dos aspectos gramaticais essenciais, elaboração de texto coeso e coerente.",195,,
IA,1,lingua portuguesa,Português: Texto e Contexto,"Estudo dos tipos e gêneros textuais discursivos, analisando a relação entre texto, contexto e intertextualidade, além dos aspectos gramaticais fundamentais para a compreensão e produção de textos coesos e coerentes.",215,,
IA,1,lingua portuguesa,Linguagem e Comunicação,"Exploração dos tipos e gêneros textuais discursivos, abordando a interação entre texto, contexto e intertextualidade, e os aspectos gramaticais essenciais para a construção de textos coesos e coerentes.",202,,
IA,1,lingua portuguesa,Texto e Discurso,"Estudo dos tipos e gêneros textuais discursivos, analisando a articulação entre texto, contexto e intertextualidade, e os aspectos gramaticais básicos para a construção de textos com coesão e coerência.",202,,
IA,1,lingua portuguesa,Português: Estrutura e Sentido,"Análise dos tipos e gêneros textuais discursivos, considerando a relação entre texto, contexto e intertextualidade, e os princípios gramaticais necessários para a produção de textos coesos e coerentes.",201,,
IA,1,lingua portuguesa,Comunicação Escrita,"Exploração dos tipos e gêneros textuais discursivos, enfocando a conexão entre texto, contexto e intertextualidade, e os aspectos gramaticais essenciais para a elaboração de textos coesos e coerentes.",200,,
IA,1,lingua portuguesa,Português: Texto e Gramática,"Estudo dos tipos e gêneros textuais discursivos, abordando a interrelação entre texto, contexto e intertextualidade, e os princípios gramaticais básicos para a produção de textos com coesão e coerência.",202,,
IA,1,lingua portuguesa,Língua Portuguesa: Produção de Textos,"Análise dos tipos e gêneros textuais discursivos, considerando a interação entre texto, contexto e intertextualidade, e os aspectos gramaticais fundamentais para a elaboração de textos coesos e coerentes.",204,,
IA,1,lingua portuguesa,"Texto, Contexto e Gramática","Exploração dos tipos e gêneros textuais discursivos, analisando a relação entre texto, contexto e intertextualidade, e os princípios gramaticais necessários para a produção de textos coesos e coerentes.",202,,
IA,1,lingua portuguesa,Português: Produção Textual,"Estudo dos tipos e gêneros textuais discursivos, enfocando a conexão entre texto, contexto e intertextualidade, e os aspectos gramaticais essenciais para a elaboração de textos com coesão e coerência.",200,,
IA,1,lingua portuguesa,Comunicação Escrita: Estrutura e Sentido,"Análise dos tipos e gêneros textuais discursivos, considerando a articulação entre texto, contexto e intertextualidade, e os princípios gramaticais básicos para a produção de textos coesos e coerentes.",201,,
IA,1,lingua portuguesa,Língua Portuguesa: Texto e Significado,"Exploração dos tipos e gêneros textuais discursivos, abordando a interação entre texto, contexto e intertextualidade, e os aspectos gramaticais fundamentais para a construção de textos com coesão e coerência.",208,,
IA,1,lingua portuguesa,Português: Produção e Compreensão de Textos,"Estudo dos tipos e gêneros textuais discursivos, analisando a relação entre texto, contexto e intertextualidade, e os princípios gramaticais necessários para a produção de textos coesos e coerentes.",198,,
IA,1,lingua portuguesa,Textualidade e Gramática,"Exploração dos tipos e gêneros textuais discursivos, enfocando a conexão entre texto, contexto e intertextualidade, e os aspectos gramaticais essenciais para a elaboração de textos com coesão e coerência.",204,,
IA,1,lingua portuguesa,Português: Estrutura e Contexto,"Análise dos tipos e gêneros textuais discursivos, considerando a articulação entre texto, contexto e intertextualidade, e os princípios gramaticais básicos para a produção de textos coesos e coerentes.",201,,
IA,1,lingua portuguesa,Linguagem e Produção de Textos,"Exploração dos tipos e gêneros textuais discursivos, abordando a interação entre texto, contexto e intertextualidade, e os aspectos gramaticais fundamentais para a construção de textos com coesão e coerência.",208,,
IA,1,lingua portuguesa,Comunicação Escrita: Texto e Contexto,"Estudo dos tipos e gêneros textuais discursivos, analisando a relação entre texto, contexto e intertextualidade, e os princípios gramaticais necessários para a produção de textos coesos e coerentes.",198,,
IA,1,lingua portuguesa,Língua Portuguesa: Estrutura e Significado,"Análise dos tipos e gêneros textuais discursivos, considerando a conexão entre texto, contexto e intertextualidade, e os aspectos gramaticais básicos para a produção de textos com coesão e coerência.",199,,
IA,1,lingua portuguesa,Português: Texto e Produção,"Exploração dos tipos e gêneros textuais discursivos, enfocando a articulação entre texto, contexto e intertextualidade, e os princípios gramaticais essenciais para a elaboração de textos com coesão e coerência.",210,,
IA,1,lingua portuguesa,Textualidade e Comunicação,"Análise dos tipos e gêneros textuais discursivos, abordando a interação entre texto, contexto e intertextualidade, e os aspectos gramaticais fundamentais para a construção de text",179,,
IA,2,"embriologia, genética e evolução","Embriologia, Genética e Evolução","Estudo das fases do desenvolvimento embrionário desde a fecundação até a formação completa dos órgãos do novo ser, incluindo noções básicas das estruturas e funções dos ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Base genética do câncer, grupos sanguíneos, biotecnologia, e evidências e teorias da evolução.",387,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento,"Exploração das etapas do desenvolvimento embrionário desde a fecundação até a formação dos órgãos, juntamente com os conceitos fundamentais das estruturas e funções dos ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Estudo da base genética do câncer, grupos sanguíneos, biotecnologia e teorias da evolução.",383,,
IA,2,"embriologia, genética e evolução",Embriogenética e Evolução,"Estudo abrangente das fases do desenvolvimento embrionário, desde a fecundação até a maturação dos órgãos, associado às noções básicas de ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Abordagem da base genética do câncer, grupos sanguíneos, biotecnologia e evidências evolutivas.",357,,
IA,2,"embriologia, genética e evolução","Genética, Embriologia e Evolução","Análise integrada das fases do desenvolvimento embrionário, compreendendo desde a fecundação até a formação completa dos órgãos, com ênfase nas estruturas e funções dos ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Estudo da base genética do câncer, grupos sanguíneos, biotecnologia e teorias da evolução.",383,,
IA,2,"embriologia, genética e evolução",Desenvolvimento Embriológico e Genético,"Exploração das etapas do desenvolvimento embrionário e dos conceitos genéticos, abrangendo desde a fecundação até a maturação dos órgãos, incluindo aspectos como ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Investigação da base genética do câncer, grupos sanguíneos, biotecnologia e evidências evolutivas.",384,,
IA,2,"embriologia, genética e evolução",Embriologia e Genética,"Estudo das fases do desenvolvimento embrionário e dos princípios genéticos, desde a fecundação até a formação dos órgãos, abordando aspectos como ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Investigação da base genética do câncer, grupos sanguíneos, biotecnologia e teorias evolutivas.",365,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento e Genética,"Análise das etapas do desenvolvimento embrionário e dos princípios genéticos, incluindo conceitos desde a fecundação até a maturação dos órgãos, envolvendo ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Estudo da base genética do câncer, grupos sanguíneos, biotecnologia e evidências da evolução.",373,,
IA,2,"embriologia, genética e evolução",Embriogenética e Biotecnologia,"Estudo integrado do desenvolvimento embrionário e dos conceitos genéticos, abrangendo desde a fecundação até a formação dos órgãos, com ênfase nas estruturas e funções dos ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual e alterações cromossômicas. Exploração da base genética do câncer, grupos sanguíneos, biotecnologia e teorias evolutivas.",389,,
IA,2,"embriologia, genética e evolução","Embriologia, Genética e Biologia Molecular","Exploração das fases do desenvolvimento embrionário e dos princípios genéticos, compreendendo desde a fecundação até a maturação dos órgãos, incluindo aspectos como ácidos nucleicos, herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual",260,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento,"Estudo das etapas do desenvolvimento embrionário, desde a fecundação até a formação completa dos órgãos do novo ser, abordando noções básicas de embriologia, genética e evolução.",178,,
IA,2,"embriologia, genética e evolução","Embriologia, Genética e Evolução","Análise das fases do desenvolvimento embrionário, estruturas e funções dos ácidos nucleicos, princípios da herança mendeliana e multifatorial, distúrbios genéticos, determinação sexual, e bases genéticas do câncer e da evolução.",228,,
IA,2,"embriologia, genética e evolução",Biologia Embriológica,"Exploração das fases do desenvolvimento embrionário, incluindo a formação do zigoto e o desenvolvimento dos órgãos, associada a noções básicas de genética e evolução, abordando distúrbios genéticos e evidências evolutivas.",222,,
IA,2,"embriologia, genética e evolução",Desenvolvimento Embrionário,"Estudo das etapas do desenvolvimento embrionário desde a fecundação até a formação completa dos órgãos, considerando aspectos genéticos e evolutivos, e suas implicações na formação de distúrbios genéticos e na compreensão da evolução.",234,,
IA,2,"embriologia, genética e evolução",Embriologia e Genética,"Análise das fases do desenvolvimento embrionário, abordando estruturas e funções dos ácidos nucleicos, princípios de herança genética, distúrbios cromossômicos, determinação sexual, biotecnologia e teorias da evolução.",218,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento Humano,"Exploração das etapas do desenvolvimento embrionário humano, desde a fecundação até a formação dos órgãos, associada a noções de genética e evolução, incluindo aspectos relacionados a distúrbios genéticos e evidências evolutivas.",229,,
IA,2,"embriologia, genética e evolução","Embriologia, Genética e Biotecnologia","Estudo das fases do desenvolvimento embrionário, princípios genéticos, distúrbios cromossômicos, determinação sexual, bases genéticas do câncer, biotecnologia e teorias da evolução, e suas inter-relações.",204,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento Animal,"Análise das etapas do desenvolvimento embrionário nos animais, desde a fecundação até a formação dos órgãos, relacionando com conceitos de genética e evolução, incluindo aspectos de distúrbios genéticos e evidências da evolução.",228,,
IA,2,"embriologia, genética e evolução",Embriologia e Herança Genética,"Exploração das fases do desenvolvimento embrionário, herança genética mendeliana e multifatorial, distúrbios autossômicos e ligados ao cromossomo X, determinação sexual, e sua relação com os princípios evolutivos e a base genética do câncer.",241,,
IA,2,"embriologia, genética e evolução",Desenvolvimento Embrionário e Genética,"Estudo das etapas do desenvolvimento embrionário, abordando noções de genética, incluindo herança mendeliana, distúrbios genéticos, determinação sexual, biotecnologia, e evidências e teorias da evolução.",203,,
IA,2,"embriologia, genética e evolução",Embriologia e Evidências Evolutivas,"Análise das fases do desenvolvimento embrionário, associadas a conceitos de genética e evolução, incluindo distúrbios genéticos, determinação sexual, bases genéticas do câncer, biotecnologia, e evidências e teorias da evolução.",227,,
IA,2,"embriologia, genética e evolução",Biologia do Desenvolvimento Celular,"Exploração das etapas do desenvolvimento embrionário, associadas a noções de genética e evolução, incluindo distúrbios cromossômicos, determinação sexual, bases genéticas do câncer, biotecnologia, e evidências da evolução.",222,,
IA,2,"embriologia, genética e evolução","Embriologia, Genética e Distúrbios","Estudo das fases do desenvolvimento embrionário, aspectos da genética, incluindo herança mendeliana e multifatorial, distúrbios genéticos autossômicos e ligados ao X, determinação sexual, biotecnologia, e teorias e evidências da evolução.",238,,
IA,2,"embriologia, genética e evolução",DNA: O Código da Vida em Cada Célula,"Mergulhe no universo dos ácidos nucleicos, desvendando a estrutura e a função do DNA e do RNA. Descubra como esses códigos moleculares definem as características de cada ser e influenciam sua saúde e desenvolvimento.",216,,
IA,2,"embriologia, genética e evolução",Herança: Desvendando os Segredos da Linhagem,"Explore os mecanismos da herança, desde a herança mendeliana até a multifatorial. Compreenda como as características são transmitidas de geração em geração e desvende os mistérios da genética humana.",199,,
IA,2,"embriologia, genética e evolução",Doenças Genéticas: Desafios e Avanços na Saúde,"Abordagem das doenças genéticas, desde os distúrbios autossômicos e ligados ao X até a base genética do câncer. Compreenda os mecanismos genéticos por trás das doenças e explore os avanços na pesquisa e no tratamento.",217,,
IA,2,"embriologia, genética e evolução",Determinação Sexual: Desvendando o Mistério do Gênero,"Explore os mecanismos da determinação sexual, desde a influência dos cromossomos até as alterações cromossômicas e as interações hormonais. Desvende a complexa biologia por trás da definição do sexo e da diversidade sexual.",223,,
IA,2,"embriologia, genética e evolução",Grupos Sanguíneos: A Diversidade na Superfície das Células,"Mergulhe no universo dos grupos sanguíneos, explorando seus sistemas de antígenos e anticorpos, a herança genética e a importância na transfusão de sangue. Compreenda a diversidade dos grupos sanguíneos e seu impacto na saúde.",226,,
IA,2,"embriologia, genética e evolução",Biotecnologia: A Ciência Transformando a Vida,"Desvende o fascinante mundo da biotecnologia, explorando suas aplicações na medicina, na agricultura, na indústria e na pesquisa. Descubra como a manipulação genética e outras técnicas biotecnológicas estão transformando o mundo e impactando a vida humana.",256,,
IA,2,"embriologia, genética e evolução",Evolução: A Jornada da Vida Através dos Tempos,"Explore as evidências e teorias da evolução, desde os fósseis e a anatomia comparada até a genética e a biologia molecular. Desvende a história da vida na Terra e as forças que moldaram a diversidade dos seres vivos.",216,,
IA,2,"embriologia, genética e evolução",Embriologia: A Arte da Criação da Vida,"Mergulhe no universo da embriologia, explorando as etapas do desenvolvimento embrionário desde a fecundação até a formação do feto. Desvende os mecanismos moleculares e celulares que moldam o corpo humano e celebramos a beleza da criação da vida.",246,,
IA,2,"embriologia, genética e evolução",Genética Médica: Desvendando os Mistérios da Herança,"Explore a genética médica, desde os testes genéticos até o aconselhamento genético. Compreenda os riscos de doenças hereditárias e as implicações éticas da manipulação genética na saúde humana.",193,,
IA,2,"embriologia, genética e evolução",Genética das Populações: A Diversidade Humana em Foco,"Desvende a genética das populações, explorando a diversidade genética humana e sua relação com a adaptação ao ambiente, a migração e a seleção natural. Compreenda as origens da humanidade e o impacto da diversidade genética na saúde e na sociedade.",248,,
IA,2,"embriologia, genética e evolução",Evolução Humana: A Saga da Nossa Espécie,"Explore a fascinante história da evolução humana, desde os nossos ancestrais primatas até a modernidade. Descubra os fatores que influenciaram a evolução da nossa espécie e as implicações para o futuro da humanidade.",216,,
IA,2,"embriologia, genética e evolução",Biologia Molecular: A Base da Vida em Nível Molecular,"Mergulhe no universo da biologia molecular, explorando a estrutura e função do DNA, RNA e proteínas. Desvende os mecanismos moleculares da vida e as implicações para a saúde, a biotecnologia e a pesquisa científica.",215,,
IA,2,"embriologia, genética e evolução",Genômica: O Mapa Completo da Herança,"Explore a genômica, a ciência do genoma humano. Desvende a estrutura e a função do nosso DNA, os projetos genoma e as implicações para a medicina, a saúde e a sociedade.",169,,
IA,2,"embriologia, genética e evolução","Epigenética: Além do DNA, a Influência do Ambiente","Descubra a epigenética, a ciência que estuda como o ambiente pode influenciar a expressão dos genes. Explore a interação entre genes e ambiente, e como nossas experiências podem moldar a nossa saúde e a de nossos descendentes.",226,,
IA,2,"embriologia, genética e evolução",Clonagem e Organismos Transgênicos: Ética e Aplicações,"Explore as questões éticas e as aplicações da clonagem e dos organismos transgênicos. Debata os desafios e as promessas dessas técnicas na agricultura, na medicina e na pesquisa científica.",189,,
IA,2,"embriologia, genética e evolução",Diagnóstico Pré-Natal: Conhecendo o Bebê Antes do Nascimento,"Mergulhe no universo do diagnóstico pré-natal, explorando as técnicas utilizadas para identificar doenças genéticas e malformações no feto. Compreenda a importância do diagnóstico precoce e as implicações para a saúde materna e fetal.",234,,
IA,2,"embriologia, genética e evolução",Terapia Gênica: Corrigindo Erros na Herança,"Explore a terapia gênica, uma técnica promissora para o tratamento de doenças genéticas. Descubra como cientistas estão corrigindo erros no DNA para promover a cura de doenças.",176,,
IA,2,"embriologia, genética e evolução",Células-Tronco: Reprogramação e Regeneração,"Mergulhe no universo das células-tronco, células com potencial de se diferenciar em diversos tipos celulares. Explore as aplicações das células-tronco na medicina regenerativa e o potencial para tratar doenças e lesões.",219,,
IA,2,"embriologia, genética e evolução",Evolução e Ecologia: A Relação entre Seres Vivos e o Ambiente,"Explore a relação entre evolução e ecologia, analisando como as pressões ambientais moldam a adaptação e a diversidade dos seres vivos. Compreenda a importância da conservação ambiental para a manutenção da biodiversidade.",222,,
IA,2,"embriologia, genética e evolução",Paleontologia: Desenterrando Segredos do Passado,"Explore a paleontologia, a ciência que estuda os fósseis para reconstruir a história da vida na Terra. Descubra como os fósseis fornecem evidências da evolução e nos ajudam a entender o passado do nosso planeta.",211,,
IA,2,"embriologia, genética e evolução",Seleção Natural: O Motor da Evolução,"Mergulhe no conceito de seleção natural, o mecanismo principal da evolução. Descubra como a variação genética e a sobrevivência do mais apto moldam a diversidade dos seres vivos.",178,,
IA,2,"embriologia, genética e evolução",Deriva Genética: O Papel do Acaso na Evolução,"Explore a deriva genética, um importante mecanismo da evolução que age por acaso. Compreenda como a deriva genética pode influenciar a diversidade genética das populações e promover a especiação.",195,,
IA,2,"embriologia, genética e evolução",Bioética e Embriologia: Reflexões sobre a Manipulação da Vida,"Analise as questões éticas relacionadas à embriologia e à manipulação da vida humana. Debata temas como a clonagem terapêutica, a edição genética e a fertilização in vitro.",172,,
IA,2,"embriologia, genética e evolução",Genômica Comparativa: Desvendando as Relações entre Espécies,"Explore a genômica comparativa, a ciência que compara os genomas de diferentes espécies. Descubra como a análise comparativa do DNA nos ajuda a entender a evolução, o parentesco entre seres vivos e o surgimento de novas espécies.",229,,
IA,2,"embriologia, genética e evolução",Neurogenética: Desvendando a Base Genética do Comportamento,"Mergulhe na neurogenética, a ciência que estuda a influência dos genes no comportamento humano. Explore a relação entre genes e doenças neurológicas, e as implicações éticas da manipulação genética do comportamento.",215,,
IA,2,"embriologia, genética e evolução",Evolução e Doenças: Uma Perspectiva Genética,"Explore a relação entre evolução e doenças, analisando como a seleção natural pode influenciar a susceptibilidade a determinadas doenças genéticas. Compreenda como a evolução moldou o nosso sistema imunológico e a nossa predisposição a certas enfermidades.",256,,
IA,2,"embriologia, genética e evolução",Conselho Genético: Orientação para Famílias com Risco Genético,"Explore o papel do aconselhamento genético, fornecendo orientação para famílias com risco de doenças hereditárias. Descubra como o aconselhamento genético pode auxiliar na tomada de decisões sobre planejamento familiar, testes genéticos e cuidados preventivos de saúde.",269,,
IA,2,fisiologia humana,Fisiologia Integrada,"Estudo da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, abordando também a fisiologia do sistema estomatognático e suas interações na mastigação, fala e deglutição.",212,,
IA,2,fisiologia humana,Fisiologia Humana,"Análise da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, com enfoque na interação do sistema estomatognático para as funções de mastigação, fala e deglutição.",206,,
IA,2,fisiologia humana,Fisiologia Integrativa,"Exploração da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, considerando a integração com o sistema estomatognático para as funções de mastigação, fala e deglutição.",213,,
IA,2,fisiologia humana,Fisiologia Sistêmica,"Estudo da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, e sua relação com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",200,,
IA,2,fisiologia humana,Fisiologia Multissistêmica,"Análise da fisiologia integrada dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, considerando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",219,,
IA,2,fisiologia humana,Fisiologia do Corpo Humano,"Exploração da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, com ênfase na integração com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",215,,
IA,2,fisiologia humana,Fisiologia e Integração dos Sistemas,"Estudo da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, considerando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",208,,
IA,2,fisiologia humana,Fisiologia Humana Integrada,"Análise da fisiologia integrada dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, e sua relação com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",211,,
IA,2,fisiologia humana,Fisiologia Funcional Humana,"Exploração da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, enfocando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",209,,
IA,2,fisiologia humana,Fisiologia Sistêmica Humana,"Estudo da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, com ênfase na integração com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",211,,
IA,2,fisiologia humana,Fisiologia Integrada do Organismo,"Análise da fisiologia integrada dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, considerando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",219,,
IA,2,fisiologia humana,Fisiologia Sistêmica Integrada,"Exploração da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, com enfoque na interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",212,,
IA,2,fisiologia humana,Fisiologia Integrada do Corpo Humano,"Estudo da fisiologia integrada dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, e sua relação com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",210,,
IA,2,fisiologia humana,Fisiologia do Organismo Humano,"Análise da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, com ênfase na integração com o sistema estomatognático para as atividades de mastigação, fala e deglutição.",212,,
IA,2,fisiologia humana,Fisiologia Funcional do Corpo Humano,"Exploração da fisiologia dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, enfatizando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",211,,
IA,2,fisiologia humana,Fisiologia Integrativa do Corpo Humano,"Estudo da fisiologia integrada dos sistemas nervoso, endócrino, digestório, cardiovascular, respiratório e renal, considerando a interação com o sistema estomatognático para as funções de mastigação, fala e deglutição.",218,,
